Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3472064,07/09/2016 16:09,03/05/2016 10:55,40220176,4062237776,0,101,1357,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003390/SRR3472064,SRX1739422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419627,SAMN04933246,simple,9606,Homo sapiens,GSM2141679,,,,,,,no,,,,,GEO,SRA422927,,public,F84A8A62A6A18976A438EAD7F0EFBB18,3740D778D3F77ABF3436DC1DED4BA80A
SRR3472065,07/09/2016 16:09,03/05/2016 10:54,40995584,4140553984,0,101,1375,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003390/SRR3472065,SRX1739423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419629,SAMN04933247,simple,9606,Homo sapiens,GSM2141680,,,,,,,no,,,,,GEO,SRA422927,,public,0F8C54571B68E74FBC6EB1A6D3347ADA,65419A6652B989FDC7ECF7DBCFCEC54E
SRR3472066,07/09/2016 16:09,03/05/2016 10:52,41034196,4144453796,0,101,1379,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003390/SRR3472066,SRX1739424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419630,SAMN04933248,simple,9606,Homo sapiens,GSM2141681,,,,,,,no,,,,,GEO,SRA422927,,public,2B240E511FF3DEC3B798F84D839AF14D,ACC71AED283A873E2FBD86868C6865C4
SRR3472067,07/09/2016 16:09,03/05/2016 10:52,35743447,3610088147,0,101,1186,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003390/SRR3472067,SRX1739425,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419631,SAMN04933249,simple,9606,Homo sapiens,GSM2141682,,,,,,,no,,,,,GEO,SRA422927,,public,8E1571F67BD441355DD837503ED9BFF2,3A54524CC4F2839293667CF3FEBCF5CC
SRR3472068,07/09/2016 16:09,03/05/2016 10:54,37112048,3748316848,0,101,1242,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003390/SRR3472068,SRX1739426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419633,SAMN04933250,simple,9606,Homo sapiens,GSM2141683,,,,,,,no,,,,,GEO,SRA422927,,public,B61FBB4D4AD1529CDE0A32C31DB3B6F0,440A30C65AF7F179B94C2FFF08B9DAE8
SRR3472069,07/09/2016 16:09,03/05/2016 10:54,38949810,3933930810,0,101,1293,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003390/SRR3472069,SRX1739427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419632,SAMN04933101,simple,9606,Homo sapiens,GSM2141684,,,,,,,no,,,,,GEO,SRA422927,,public,403494C1185094B7CC16E63375D89016,C5642F353698EDA4D60D8726C0EAC312
SRR3472070,07/09/2016 16:09,03/05/2016 10:54,40455279,4085983179,0,101,1359,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003390/SRR3472070,SRX1739428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419634,SAMN04933102,simple,9606,Homo sapiens,GSM2141685,,,,,,,no,,,,,GEO,SRA422927,,public,B962DBB4C51CCFCA02293407D5E31EDE,8ECDA303C4036CD595CACA949FAFDB43
SRR3472071,07/09/2016 16:09,03/05/2016 10:59,39898119,4029710019,0,101,1344,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003390/SRR3472071,SRX1739429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419635,SAMN04933103,simple,9606,Homo sapiens,GSM2141686,,,,,,,no,,,,,GEO,SRA422927,,public,4E2FF586C7B632982C4A49DA0E10392A,DE1D07544BB8E6478E2E1C4D13A4290F
SRR3472072,07/09/2016 16:09,03/05/2016 10:59,40883487,4129232187,0,101,1370,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003390/SRR3472072,SRX1739430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419636,SAMN04933104,simple,9606,Homo sapiens,GSM2141687,,,,,,,no,,,,,GEO,SRA422927,,public,4C919540FC2842682B46D8A97C5A12BC,7F11BDDFE97E0E018214641D34BE3FF2
SRR3472073,07/09/2016 16:09,03/05/2016 10:52,32877760,3320653760,0,101,1103,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003390/SRR3472073,SRX1739431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074274,PRJNA320361,2,320361,SRS1419637,SAMN04933105,simple,9606,Homo sapiens,GSM2141688,,,,,,,no,,,,,GEO,SRA422927,,public,F00427346E09076BCA582A2D63DAF950,2E036CAA1FE5B5430A19C8F9C576F59F
