sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	marker	type	batch
CD16_1	FF14_290	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_10	FF14_309	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_100	FF14_431	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_101	FF14_432	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_11	FF14_310	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_12	FF14_311	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_13	FF14_312	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_14	FF14_314	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_15	FF14_315	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_16	FF14_316	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_17	FF14_319	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_18	FF14_321	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_19	FF14_322	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_2	FF14_292	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_20	FF14_323	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_21	FF14_324	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_22	FF14_325	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_23	FF14_327	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_24	FF14_328	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	FALSE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_25	FF14_329	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_26	FF14_330	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_27	FF14_331	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_28	FF14_332	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_29	FF14_334	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_3	FF14_293	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_30	FF14_335	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_31	FF14_336	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_32	FF14_337	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_33	FF14_338	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_34	FF14_339	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_35	FF14_340	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_36	FF14_341	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_37	FF14_342	male	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
CD16_38	FF14_343	female	neutrophil	naive	neutrophil_CD16	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Naranbhai_2015	CD16	microarray	NA
